Customer_ID,BrandName,Timestamp,Digital_Channel,Touchpoint_Position,Is_Conversion,Attributed_Revenue,
CUST_10000,BrandX,01-01-2023 00:00,Paid Search,Middle Touch,0,0,
CUST_10001,BrandX,01-01-2023 00:00,Paid Search,Middle Touch,0,0,
CUST_10001,BrandX,01-01-2023 00:00,Paid Search,Middle Touch,0,0,
CUST_10002,BrandX,01-01-2023 00:00,Paid Search,First Touch,0,0,
CUST_10003,BrandX,01-01-2023 00:00,Paid Search,Last Touch,0,0,
CUST_10003,BrandX,01-01-2023 00:00,Paid Search,Middle Touch,1,114.05,
CUST_10003,BrandX,01-01-2023 00:00,Paid Search,First Touch,0,0,
CUST_10003,BrandX,01-01-2023 00:00,Paid Search,Middle Touch,0,0,
CUST_10004,BrandX,01-01-2023 00:00,Paid Search,Last Touch,0,0,
CUST_10005,BrandX,01-01-2023 00:00,Paid Search,Last Touch,0,0,
CUST_10006,BrandX,01-01-2023 00:00,Paid Search,First Touch,0,0,
CUST_10007,BrandX,01-01-2023 00:00,Paid Search,First Touch,0,0,
CUST_10007,BrandX,01-01-2023 00:00,Paid Search,First Touch,0,0,
CUST_10007,BrandX,01-01-2023 00:00,Paid Search,First Touch,0,0,
CUST_10008,BrandX,01-01-2023 00:00,Paid Search,First Touch,0,0,
CUST_10008,BrandX,01-01-2023 00:00,Paid Search,Middle Touch,0,0,
CUST_10008,BrandX,01-01-2023 00:00,Paid Search,Middle Touch,0,0,
CUST_10008,BrandX,01-01-2023 00:00,Paid Search,First Touch,0,0,
CUST_10008,BrandX,01-01-2023 00:00,Paid Search,First Touch,0,0,
CUST_10009,BrandX,01-01-2023 00:00,Paid Search,First Touch,0,0,
CUST_10010,BrandX,01-01-2023 00:00,Paid Search,Middle Touch,0,0,
CUST_10010,BrandX,01-01-2023 00:00,Paid Search,First Touch,1,126.96,
CUST_10011,BrandX,01-01-2023 00:00,Paid Search,First Touch,0,0,
CUST_10012,BrandX,01-01-2023 00:00,Paid Search,First Touch,0,0,
CUST_10013,BrandX,01-01-2023 00:00,Paid Search,First Touch,0,0,
CUST_10013,BrandX,01-01-2023 00:00,Paid Search,Middle Touch,0,0,
CUST_10013,BrandX,01-01-2023 00:00,Paid Search,First Touch,0,0,
CUST_10014,BrandX,01-01-2023 00:00,Paid Search,Middle Touch,0,0,
CUST_10015,BrandX,01-01-2023 00:00,Paid Search,Middle Touch,0,0,
CUST_10015,BrandX,01-01-2023 00:00,Paid Search,Middle Touch,0,0,
CUST_10016,BrandX,01-01-2023 00:00,Paid Search,First Touch,0,0,
CUST_10016,BrandX,01-01-2023 00:00,Paid Search,First Touch,0,0,
CUST_10016,BrandX,01-01-2023 00:00,Paid Search,Middle Touch,0,0,
CUST_10017,BrandX,01-01-2023 00:00,Paid Search,Last Touch,0,0,
CUST_10018,BrandX,01-01-2023 00:00,Paid Search,First Touch,0,0,
